sep=,
Frametimes/GPU Usage/CPU Usage/2023-02-18T14:27:09.9737660+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1260.0635526887", "90.0", "6.2", "3.4", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.07452968861", "0.0", "7.3", "4.2", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.08553498872", "91.1", "4.1", "3.8", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.09652218878", "91.0", "5.0", "3.7", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.10753578876", "91.0", "8.9", "3.6", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.11856368877", "90.9", "4.5", "3.4", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.12952898872", "90.9", "4.7", "3.4", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.14054248868", "90.9", "4.4", "3.4", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.15253528848", "90.9", "8.5", "3.5", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.16355628881", "89.9", "5.2", "3.5", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.17455368867", "90.0", "4.3", "3.7", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.18554168871", "90.1", "6.9", "3.6", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.19655398869", "90.2", "4.4", "3.7", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.20754398847", "90.2", "4.4", "3.9", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.21855798858", "90.3", "8.5", "3.6", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.22955438859", "90.3", "5.2", "3.7", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.24057098863", "90.4", "4.7", "3.7", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.25155608871", "90.4", "8.2", "3.9", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.26358558865", "90.4", "4.7", "4.0", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.27458778876", "90.0", "4.4", "3.5", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.28557098866", "90.0", "7.5", "3.9", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
"1260.29656838852", "90.1", "4.9", "3.6", "55", "27", "39", "42", "28", "19", "28", "45", "38", "22", "22", "26", "24", "14", "20", "16", "33", "19"
