sep=,
Frametimes/GPU Usage/CPU Usage/2023-02-18T14:18:17.9131537+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"728.005349888632", "90.0", "3.5", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.016352188582", "0.0", "3.7", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.028350888542", "90.9", "4.0", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.039356188612", "87.0", "3.5", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.050387188536", "88.2", "3.6", "1.5", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.061350588562", "88.8", "3.5", "1.5", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.072371988595", "89.3", "3.4", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.083364188647", "89.5", "3.6", "1.5", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.094395588723", "89.7", "3.4", "1.5", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.105377388527", "89.8", "3.3", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.116364888527", "90.0", "3.7", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.128376288542", "90.1", "3.4", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.139366888653", "89.4", "3.5", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.150383788728", "89.5", "3.7", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.16136628864", "89.6", "3.9", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.172390988635", "89.7", "3.6", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.183372988659", "89.8", "3.7", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.194381888535", "89.9", "3.4", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.20538728864", "89.9", "2.9", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.216397288649", "90.0", "3.5", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.227386488542", "90.0", "3.8", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.239401488658", "90.1", "3.4", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.250390988598", "89.7", "3.7", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.261398388591", "89.8", "3.4", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.272411188696", "89.8", "3.4", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.283404688597", "89.9", "3.8", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.294410988506", "89.9", "3.8", "1.5", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.305411988526", "89.9", "3.4", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.316400688539", "90.0", "3.1", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.327408688662", "90.0", "3.6", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.339429088638", "90.0", "3.4", "1.9", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.350472788597", "89.8", "3.6", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.361411188539", "89.8", "3.9", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.372435888589", "89.9", "4.2", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.38343268865", "89.9", "3.6", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.394430088661", "89.9", "3.6", "1.5", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.405440088538", "90.0", "3.3", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.416430388662", "90.0", "3.6", "1.5", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.427438988513", "90.0", "3.4", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.439450588634", "90.0", "3.7", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.450441088681", "89.8", "3.6", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.461441488577", "89.9", "3.3", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.472457988722", "89.9", "3.4", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.483444688618", "89.9", "3.6", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.494465288589", "89.9", "3.8", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.505479488507", "90.0", "3.6", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.516456988679", "90.0", "3.7", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.527471388725", "90.0", "3.3", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.538376388619", "90.0", "2.8", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.550366488568", "90.1", "3.9", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.561450188647", "89.9", "3.8", "1.7", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.572369888721", "89.9", "3.3", "1.5", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.583358088545", "89.9", "3.7", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.594378688641", "90.0", "3.4", "1.8", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.6053657887", "90.0", "3.3", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
"728.616396188718", "90.0", "3.6", "1.6", "49", "23", "31", "36", "24", "16", "34", "27", "31", "18", "22", "28", "21", "13", "18", "12", "26", "17"
