sep=,
Frametimes/GPU Usage/CPU Usage/2023-02-18T14:34:29.3513456+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1699.45457758865", "81.0", "9.2", "4.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.45506877753", "0.0", "12.6", "4.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.47655518811", "2035.9", "9.0", "5.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.48737578915", "91.0", "8.3", "6.0", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.49836468854", "91.5", "8.6", "6.9", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.49885977804", "91.4", "8.7", "7.4", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.52065298795", "112.9", "10.6", "7.5", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.52842518881", "90.8", "11.2", "9.5", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.54293188897", "94.8", "11.4", "9.3", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.55501838883", "90.5", "11.2", "5.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.56502268821", "89.6", "10.5", "5.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.57651488861", "90.5", "10.8", "7.0", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.58935138828", "90.2", "10.3", "11.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.60942848854", "89.0", "10.0", "16.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.61095957767", "84.0", "12.5", "11.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.6434212888", "89.5", "10.4", "12.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.6433225773", "79.4", "8.5", "4.1", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.66643018837", "84.8", "12.2", "5.1", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.67643918823", "80.2", "10.4", "6.5", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.68744728816", "81.1", "10.5", "8.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.69844358826", "81.6", "11.6", "9.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.70946078859", "82.0", "10.4", "10.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.72171858904", "82.4", "11.0", "11.5", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.73246898816", "82.4", "11.4", "10.1", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.74327538824", "82.8", "10.3", "10.0", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.75447248892", "83.1", "11.0", "10.4", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.76561868895", "83.4", "10.9", "10.4", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.77684588838", "83.6", "9.3", "10.5", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.78845158872", "83.8", "11.0", "10.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.78892347682", "83.9", "8.9", "10.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.8116933889", "86.7", "8.4", "10.9", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.82245518822", "84.0", "8.3", "9.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.83357468831", "84.3", "10.8", "10.4", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.84459488835", "84.4", "8.9", "10.3", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.85590758861", "84.6", "9.5", "10.5", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.85567427701", "84.7", "8.9", "10.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.87876298907", "87.3", "8.6", "11.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.88978688848", "84.9", "8.5", "10.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.90914978906", "85.0", "10.7", "10.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.92067478875", "83.6", "8.5", "3.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.92053977735", "83.7", "10.8", "3.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.94267058859", "85.8", "10.9", "3.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.95371478888", "84.0", "10.5", "4.4", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.96521888855", "84.1", "11.0", "4.3", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.97673928883", "84.2", "10.2", "3.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.98724238887", "84.3", "10.8", "4.1", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1699.99824428879", "84.5", "11.2", "5.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.00948248829", "84.6", "11.3", "6.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.02037278833", "84.7", "10.6", "6.0", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.0313397885", "84.8", "10.6", "6.9", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.04336088835", "85.0", "10.5", "7.9", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.05401318883", "84.9", "10.3", "8.9", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.06530858882", "85.1", "9.9", "10.5", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.07804758858", "85.1", "11.5", "12.0", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.09801708844", "85.0", "8.2", "12.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.09891717686", "83.9", "8.0", "4.3", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.12107728837", "85.4", "11.9", "4.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.13207308885", "84.0", "10.8", "5.1", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.14257778883", "84.1", "10.7", "6.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.15411868826", "84.3", "11.4", "9.4", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.16467438885", "84.3", "10.4", "8.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.17660968816", "84.5", "10.7", "9.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.1876495884", "84.5", "11.0", "9.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.19860828895", "84.6", "10.2", "10.3", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.21014338851", "84.7", "10.2", "10.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.2207166882", "84.7", "11.2", "9.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.23244508826", "84.8", "10.6", "11.0", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.24344228904", "84.8", "10.5", "10.3", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.25442758901", "84.9", "10.8", "10.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.26554778863", "85.0", "10.3", "9.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.27627708896", "85.1", "9.9", "9.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.28777888896", "85.2", "10.8", "9.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.29829658839", "85.2", "10.7", "9.4", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.30936488895", "85.3", "10.7", "10.1", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.32150928816", "85.4", "10.8", "11.4", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.33182128826", "85.4", "10.6", "9.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.34306898853", "85.5", "10.3", "10.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.35368408897", "85.5", "10.8", "9.6", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.36522148839", "85.6", "10.9", "10.9", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.37669188871", "85.7", "10.8", "10.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.38824108825", "85.7", "11.1", "10.8", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.39864428818", "85.7", "10.8", "9.7", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.41056338873", "85.8", "10.4", "11.2", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.42179178883", "85.8", "10.8", "10.5", "94", "35", "49", "52", "38", "21", "37", "64", "53", "25", "23", "30", "31", "19", "28", "21", "43", "23"
"1700.43365368824", "85.8", "10.8", "11.2", "94", "39", "52", "52", "42", "26", "41", "65", "57", "31", "27", "41", "35", "25", "32", "27", "46", "29"
"1700.45430578867", "85.8", "8.7", "11.0", "94", "39", "52", "52", "42", "26", "41", "65", "57", "31", "27", "41", "35", "25", "32", "27", "46", "29"
"1700.45368287767", "85.0", "9.0", "3.9", "94", "39", "52", "52", "42", "26", "41", "65", "57", "31", "27", "41", "35", "25", "32", "27", "46", "29"
"1700.47664048817", "86.1", "11.8", "5.0", "94", "39", "52", "52", "42", "26", "41", "65", "57", "31", "27", "41", "35", "25", "32", "27", "46", "29"
"1700.48767678867", "84.9", "10.4", "4.4", "94", "39", "52", "52", "42", "26", "41", "65", "57", "31", "27", "41", "35", "25", "32", "27", "46", "29"
"1700.49867508828", "84.9", "11.1", "5.6", "94", "39", "52", "52", "42", "26", "41", "65", "57", "31", "27", "41", "35", "25", "32", "27", "46", "29"
"1700.51016978837", "84.0", "10.7", "6.6", "94", "39", "52", "52", "42", "26", "41", "65", "57", "31", "27", "41", "35", "25", "32", "27", "46", "29"
