sep=,
Frametimes/GPU Usage/CPU Usage/2023-02-18T14:33:05.9716669+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1616.07606918952", "90.0", "8.9", "5.8", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.08706608807", "0.0", "10.5", "7.7", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.09806778951", "90.9", "7.6", "9.2", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.09796447725", "90.9", "7.5", "10.0", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.12034998819", "137.0", "11.2", "10.6", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.13176408787", "90.3", "9.4", "10.7", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.14353218938", "89.8", "9.4", "11.1", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.15506118932", "88.9", "10.7", "10.7", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.16698868924", "88.6", "8.9", "11.1", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.18708218773", "88.0", "8.9", "11.3", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.19808818911", "81.1", "10.9", "4.2", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.20910458779", "82.0", "8.9", "4.8", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.2200877888", "82.7", "9.5", "7.6", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.23109018893", "83.3", "9.4", "8.5", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.24208908843", "83.9", "7.5", "9.2", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
"1616.25410138949", "84.3", "7.7", "10.5", "80", "37", "70", "36", "40", "25", "60", "38", "55", "31", "34", "27", "36", "22", "33", "22", "45", "26"
