sep=,
Frametimes/GPU Usage/CPU Usage/2023-02-18T14:36:31.4651668+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1821.57927008876", "82.2", "17.1", "5.9", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.59970288896", "0.0", "15.9", "8.8", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.61340098886", "48.9", "17.1", "5.3", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.63370198873", "58.6", "16.0", "16.8", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.65572588765", "55.1", "16.1", "12.4", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.66749439023", "52.3", "18.0", "5.9", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.68872869028", "56.7", "16.2", "17.9", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.70062667786", "54.8", "19.1", "14.5", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.72274308779", "57.7", "18.3", "8.7", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.74474568782", "55.8", "16.8", "10.4", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.75835818995", "54.4", "17.7", "5.7", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.77774618777", "55.8", "16.8", "7.2", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.79974788805", "55.4", "15.6", "5.7", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.81075348687", "54.4", "14.2", "5.9", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.82264207867", "56.2", "17.9", "12.0", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.84475878693", "57.5", "17.1", "5.9", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.86675588764", "56.5", "15.5", "9.8", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.87777718841", "55.7", "15.1", "5.8", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.88865357776", "57.0", "17.5", "9.6", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.91079108982", "58.2", "15.0", "5.6", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.91377507692", "57.3", "15.4", "8.8", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.94476798992", "59.8", "14.8", "7.6", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.95802588749", "57.5", "17.5", "6.0", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.97778038969", "58.1", "15.8", "6.8", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1821.99166588683", "57.7", "17.0", "5.2", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.01080968962", "58.2", "14.9", "5.0", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.02458878929", "57.9", "17.1", "5.2", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.04478508691", "58.4", "14.9", "5.1", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.05724808678", "58.0", "16.9", "5.9", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.07780799", "58.6", "14.6", "7.6", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.09023288799", "58.2", "17.4", "5.1", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.11081128746", "58.7", "15.1", "6.9", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.12306189015", "58.3", "17.1", "5.3", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.14483178683", "58.8", "14.9", "6.3", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.1564350902", "58.3", "17.6", "5.6", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.17783068805", "58.9", "14.8", "7.4", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.18931178749", "58.5", "17.0", "5.1", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.21084718997", "59.0", "14.8", "8.8", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.22234378706", "58.6", "17.3", "5.5", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.24484428719", "59.1", "15.0", "7.3", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.25584288916", "58.6", "17.2", "5.2", "97", "35", "43", "50", "37", "25", "35", "59", "49", "30", "30", "30", "34", "21", "28", "21", "45", "26"
"1822.27786688734", "59.1", "15.2", "7.6", "97", "36", "38", "57", "39", "24", "33", "61", "50", "29", "30", "35", "35", "23", "31", "22", "45", "28"
"1822.28884068967", "58.7", "16.8", "4.9", "97", "36", "38", "57", "39", "24", "33", "61", "50", "29", "30", "35", "35", "23", "31", "22", "45", "28"
"1822.31086569035", "59.2", "14.9", "8.9", "97", "36", "38", "57", "39", "24", "33", "61", "50", "29", "30", "35", "35", "23", "31", "22", "45", "28"
"1822.32189758919", "58.8", "16.6", "5.0", "97", "36", "38", "57", "39", "24", "33", "61", "50", "29", "30", "35", "35", "23", "31", "22", "45", "28"
"1822.34485388807", "59.2", "14.6", "7.7", "97", "36", "38", "57", "39", "24", "33", "61", "50", "29", "30", "35", "35", "23", "31", "22", "45", "28"
"1822.35587608995", "58.8", "15.1", "5.5", "97", "36", "38", "57", "39", "24", "33", "61", "50", "29", "30", "35", "35", "23", "31", "22", "45", "28"
