sep=,
Frametimes/GPU Usage/CPU Usage/2023-02-18T13:27:10.8083952+00:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"6733.05662406732", "108.9", "4.8", "15.1", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.06496076772", "0.0", "4.7", "16.2", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.08995536761", "120.0", "9.7", "11.2", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.09828896751", "60.0", "5.6", "15.2", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.12328726734", "72.0", "8.5", "14.5", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.14828266761", "60.0", "5.6", "12.0", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.15660936768", "54.6", "8.6", "15.6", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.18160726765", "60.0", "5.9", "13.3", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.18994296738", "56.0", "8.2", "16.2", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.21493346776", "60.0", "5.5", "11.3", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.22326896738", "56.9", "5.2", "12.9", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.23160026755", "60.0", "7.3", "15.3", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.25659236758", "62.9", "5.2", "10.2", "59", "26", "36", "20", "62", "22", "21", "33", "38", "17", "19", "12", "18", "14", "25", "14", "28", "43"
"6733.26492606771", "60.0", "5.3", "10.7", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.27325996745", "62.4", "7.9", "12.6", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.28158746746", "64.6", "4.8", "14.8", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.30658786762", "66.7", "6.1", "11.2", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.31491876762", "64.0", "7.6", "13.6", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.32324826759", "65.8", "4.8", "15.2", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.3482510677", "67.5", "5.5", "9.6", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.35658096735", "65.2", "8.2", "11.6", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.36490716776", "66.7", "5.0", "12.3", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.37324546776", "68.1", "5.4", "14.1", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.38157626772", "69.5", "5.5", "15.9", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.40655866748", "70.8", "6.1", "11.4", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.4149007677", "68.6", "5.3", "13.3", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.42323866765", "69.8", "5.7", "14.5", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.43156876761", "70.9", "7.9", "16.6", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.45656476751", "72.0", "5.0", "11.3", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
"6733.46489646742", "70.0", "4.7", "12.5", "59", "29", "35", "24", "64", "25", "23", "38", "39", "18", "20", "16", "19", "16", "27", "17", "31", "46"
