sep=,
Frametimes/GPU Usage/CPU Usage/2023-02-18T13:22:02.3082960+00:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"6424.54429476769", "120.0", "4.6", "15.0", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.55262226756", "0.0", "5.0", "14.5", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.5609545675", "120.1", "4.5", "14.7", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.56928896753", "120.0", "4.7", "14.2", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.57761946766", "120.0", "4.9", "14.4", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.58597696752", "120.0", "4.7", "16.2", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.60262066759", "120.0", "5.2", "10.8", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.61095256739", "102.9", "6.6", "12.9", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.61928376763", "105.0", "5.8", "13.7", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.62761036773", "106.7", "5.2", "15.6", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.6359474675", "108.0", "4.3", "17.3", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.65261036745", "109.1", "5.1", "9.7", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.66094306749", "101.6", "4.8", "11.6", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.66927816752", "102.9", "5.3", "14.6", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.67760646732", "104.0", "4.3", "15.0", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.68593786776", "105.0", "5.3", "15.6", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.69432946772", "105.9", "4.9", "16.5", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.71093506746", "106.6", "6.1", "8.8", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.71926876739", "102.0", "5.4", "9.4", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.7276008677", "102.9", "5.0", "9.8", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.73592656744", "103.7", "5.2", "10.5", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.74426096751", "104.4", "5.1", "11.7", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.75259416765", "105.0", "5.2", "12.6", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.76093056769", "105.6", "5.9", "13.4", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.76926026765", "106.2", "4.5", "14.6", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.77759326769", "106.7", "4.5", "15.0", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.78592296734", "107.2", "5.1", "16.1", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.79425586739", "107.6", "5.4", "17.5", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.81094076746", "108.0", "4.9", "8.7", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.81924856749", "105.0", "5.8", "9.7", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
"6424.82758316761", "105.5", "5.2", "9.4", "58", "28", "38", "27", "63", "26", "36", "19", "40", "17", "22", "12", "22", "14", "28", "14", "46", "29"
