sep=,
Frametimes/GPU Usage/CPU Usage/2023-02-18T13:34:30.6193699+00:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"7172.82435246747", "52.0", "10.1", "31.6", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7172.84101236776", "0.0", "9.7", "32.4", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7172.85767506741", "60.0", "9.5", "32.5", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7172.87434506733", "60.0", "10.4", "35.8", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7172.90766636762", "60.0", "10.8", "23.6", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7172.92433496754", "48.0", "10.6", "29.1", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7172.94100076776", "50.0", "9.5", "35.0", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7172.97432716768", "51.4", "11.4", "23.1", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7172.99099406756", "46.7", "11.7", "25.8", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7173.00765776758", "48.0", "11.4", "30.1", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7173.02432366744", "49.1", "9.5", "32.0", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7173.04098746753", "50.0", "9.6", "33.0", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7173.05765026741", "50.8", "9.7", "34.5", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7173.09097306758", "51.4", "10.6", "21.3", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7173.10764116761", "48.8", "11.5", "22.1", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
"7173.12430466774", "49.4", "10.0", "23.4", "60", "34", "42", "25", "71", "34", "34", "24", "51", "21", "28", "16", "28", "17", "36", "18", "50", "51"
