sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T19:35:25.5846461+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"813.532256188202", "90.1", "2.6", "6.6", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.543313988251", "0.0", "2.5", "7.2", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.554732488654", "90.4", "2.3", "7.9", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.565250288382", "89.0", "2.2", "7.7", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.576412088424", "90.9", "2.7", "8.2", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.588296288443", "90.6", "2.2", "8.2", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.599339288978", "89.2", "2.5", "7.3", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.610600688377", "89.4", "2.8", "7.1", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.621144088659", "89.3", "2.2", "7.1", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.632384488774", "90.0", "2.3", "7.2", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.643810988479", "89.9", "2.5", "6.8", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.654394388646", "89.6", "2.3", "6.5", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.665394488581", "90.1", "2.6", "7.0", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.677007888503", "90.1", "2.6", "7.0", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.688378588294", "89.8", "2.3", "6.4", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.698654789003", "89.7", "2.0", "6.3", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.710272489056", "90.1", "2.6", "7.2", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.721414488461", "89.9", "2.3", "6.7", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
"813.732421588978", "89.9", "2.3", "6.5", "39", "27", "33", "41", "27", "20", "26", "48", "22", "53", "16", "15", "18", "21", "15", "17", "19", "33"
