sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T19:31:54.7137820+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"602.654499688624", "0.0", "3.5", "1.6", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.666038788582", "0.0", "3.0", "1.6", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.677143388651", "86.7", "2.9", "1.6", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.687338688659", "88.3", "3.0", "1.7", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.699325688573", "91.4", "3.5", "1.5", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.710884388571", "89.2", "3.3", "1.6", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.720821488577", "88.7", "3.0", "1.6", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.731795788624", "90.5", "3.1", "1.5", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.743394988574", "90.6", "3.0", "1.5", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.754433688564", "90.0", "3.0", "1.6", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.765692888623", "90.1", "3.0", "1.6", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.776202188576", "89.9", "3.5", "1.7", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.787266388631", "90.4", "3.0", "1.5", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.798408188642", "90.4", "3.1", "1.5", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
"602.809510888647", "90.3", "3.0", "1.4", "45", "20", "35", "24", "20", "13", "30", "27", "23", "25", "12", "11", "16", "13", "14", "11", "20", "20"
