sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T19:48:37.8333928+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1605.80281967882", "31.3", "19.1", "13.8", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1605.82668458791", "0.0", "17.5", "11.7", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1605.85837348728", "41.9", "17.4", "22.5", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1605.88004728683", "36.0", "19.4", "14.6", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1605.90250648678", "38.8", "17.8", "14.0", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1605.90349837554", "40.1", "19.5", "10.9", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1605.92435747818", "49.7", "20.2", "20.0", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1605.94694057854", "49.4", "22.8", "20.3", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1605.96921427854", "48.6", "19.1", "18.4", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.01331448722", "48.1", "18.9", "26.8", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.03544548812", "42.8", "18.7", "17.3", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.05834188982", "43.0", "18.7", "15.6", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.08276198683", "43.0", "19.7", "23.7", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.08114336653", "42.9", "19.5", "19.6", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.11370417707", "46.7", "19.9", "20.5", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.13601007805", "45.0", "20.6", "19.5", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.15759377882", "45.0", "19.8", "18.4", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.18049317613", "45.1", "20.0", "16.9", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.20235997619", "45.0", "18.5", "14.2", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.22729768677", "45.1", "17.8", "12.7", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.25790448954", "44.8", "20.3", "21.4", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.28045608798", "43.9", "20.0", "18.4", "90", "55", "68", "64", "56", "49", "66", "61", "62", "60", "44", "41", "51", "46", "48", "46", "54", "57"
"1606.27979906395", "44.0", "20.9", "18.7", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.31367647651", "46.1", "20.8", "16.8", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.34634448699", "45.0", "18.6", "15.9", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.34920257717", "44.2", "19.0", "13.0", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.36607717807", "45.8", "19.6", "21.1", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.40120868816", "46.2", "20.5", "16.7", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.40432987896", "45.1", "19.2", "13.5", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.43470158958", "46.5", "17.2", "18.2", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.45692347643", "45.9", "17.4", "24.2", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.47986087777", "45.9", "19.9", "14.8", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.51254288973", "45.8", "19.0", "12.3", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.51324057848", "45.1", "18.9", "11.1", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.54563398775", "46.5", "17.4", "20.4", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.56745158954", "45.8", "19.9", "20.0", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.59003698773", "45.8", "20.5", "19.1", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.61282568865", "45.7", "21.1", "15.7", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.63496838796", "45.7", "19.0", "14.0", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.63644687873", "45.7", "20.1", "11.8", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.66945868821", "46.8", "17.7", "21.1", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.69145098714", "46.2", "19.2", "21.0", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.71239589029", "46.1", "19.9", "20.1", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.73567178976", "46.2", "20.9", "17.5", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.7568317897", "46.1", "18.9", "15.9", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.77864318699", "46.1", "20.2", "13.6", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.7925322894", "46.1", "17.5", "13.1", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.81278038867", "46.5", "17.8", "19.2", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.8339980889", "46.6", "19.3", "20.1", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.85639178922", "47.1", "21.3", "19.4", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.87934588829", "47.1", "20.4", "18.7", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.90121618949", "47.0", "20.7", "16.6", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.92421778811", "47.1", "20.8", "17.0", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.945602589", "46.0", "20.6", "14.3", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
"1606.96892328968", "46.1", "18.4", "16.3", "90", "50", "71", "52", "52", "43", "68", "52", "62", "48", "41", "37", "46", "39", "45", "37", "57", "47"
