sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T19:40:16.7047015+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1104.68285828786", "88.0", "14.2", "6.6", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.68340097889", "0.0", "16.3", "7.7", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.70774098794", "1842.7", "14.1", "7.3", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.7158991777", "80.4", "16.4", "7.6", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.73905688801", "90.8", "13.9", "6.5", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.75996308849", "71.2", "14.4", "7.6", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.76087347785", "64.8", "15.7", "6.7", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.78520619045", "76.9", "14.4", "6.4", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.79393307692", "68.4", "16.1", "6.9", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.81690368734", "72.0", "14.4", "6.8", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.83794079022", "67.1", "14.2", "6.6", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
"1104.8384424772", "64.5", "15.7", "6.2", "97", "34", "46", "41", "32", "32", "42", "43", "39", "40", "26", "22", "28", "28", "25", "25", "35", "35"
