sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T18:48:38.9390320+00:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1809.64224976747", "40.0", "17.6", "25.7", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.67557636759", "0.0", "18.1", "13.4", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.69224546724", "30.0", "19.2", "17.8", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.70891236751", "40.0", "17.8", "24.0", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.72556846734", "45.0", "18.4", "30.9", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.75889496753", "48.0", "19.6", "19.0", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.77556356743", "42.9", "19.5", "26.1", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.80889216769", "45.0", "20.3", "17.6", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.82555846762", "42.0", "19.4", "22.9", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.84221856787", "43.6", "19.4", "30.2", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.87554496774", "45.0", "18.3", "17.4", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.89221286725", "42.9", "19.6", "25.2", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.90887536764", "44.0", "17.9", "30.3", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.92554506734", "45.0", "20.2", "35.3", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.95053626761", "45.9", "17.5", "30.6", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1809.97553016751", "45.4", "18.7", "26.8", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.00052726737", "45.0", "17.1", "22.9", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.02552976738", "44.7", "18.1", "20.6", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.05052106763", "44.4", "17.3", "16.1", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.07552056748", "44.1", "16.9", "12.4", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.10051536753", "43.9", "17.4", "13.4", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.1255096676", "43.6", "16.0", "13.2", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.15050606758", "43.5", "17.0", "13.5", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.17550566747", "43.3", "18.3", "15.5", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
"1810.20049806777", "43.1", "17.5", "14.7", "92", "42", "66", "44", "39", "31", "44", "31", "56", "35", "35", "29", "45", "35", "51", "51", "43", "34"
