sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T18:40:17.6320476+00:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1308.34438806713", "110.0", "16.7", "10.2", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.35815426764", "0.0", "16.0", "14.8", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.37479996747", "72.6", "17.0", "16.5", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.39147856729", "65.8", "17.5", "19.4", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.40813976755", "63.7", "15.9", "22.4", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.44147936742", "62.7", "16.2", "7.3", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.45812286781", "51.5", "16.3", "8.7", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.47479736744", "52.8", "16.2", "11.4", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.49147266772", "53.7", "15.9", "12.3", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.50813446776", "54.4", "16.4", "14.1", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.52479026742", "55.0", "15.8", "14.8", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.5414529673", "55.4", "15.7", "16.2", "96", "36", "39", "48", "37", "28", "32", "26", "43", "28", "27", "27", "25", "53", "34", "58", "33", "29"
"1308.55812266759", "55.8", "16.6", "16.3", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.57478576766", "56.1", "14.9", "19.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.59144466726", "56.4", "16.6", "21.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.60812026736", "56.7", "16.2", "22.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.64143576776", "56.9", "16.1", "7.3", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.65810476771", "53.9", "15.8", "8.6", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.67476686774", "54.2", "16.6", "11.0", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.69144476753", "54.5", "15.6", "12.5", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.70810586741", "54.7", "16.1", "14.6", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.72475786755", "55.0", "15.8", "16.2", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.74142546743", "55.2", "16.1", "16.6", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.75808526762", "55.4", "15.9", "17.5", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.77475286778", "55.6", "16.2", "20.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.79142116743", "55.8", "16.2", "21.6", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.8247540678", "55.9", "15.8", "7.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.84141106724", "54.1", "16.7", "8.5", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.85807376757", "54.3", "15.9", "10.9", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.87474186768", "54.5", "16.2", "12.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.89141026726", "54.7", "16.2", "13.3", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.90807646777", "54.8", "16.3", "14.8", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.92473266753", "55.0", "17.0", "15.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.94139576748", "55.1", "16.5", "19.5", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.95806236735", "55.3", "16.5", "21.0", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1308.97473166731", "55.4", "17.1", "22.5", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.00805226737", "55.5", "15.8", "7.0", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.02471466737", "54.2", "15.5", "11.1", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.04138776726", "54.4", "16.6", "11.7", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.05805656747", "54.5", "15.8", "14.0", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.07471716773", "54.6", "15.7", "14.2", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.09136906738", "54.8", "17.1", "15.8", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.10804066761", "54.9", "15.6", "19.2", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.12470136746", "55.0", "15.8", "21.1", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.14137236763", "55.1", "16.3", "23.5", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.17469286767", "55.2", "15.5", "6.8", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.19135786754", "54.2", "15.9", "7.0", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.20802546736", "54.3", "15.4", "10.9", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.22469546768", "54.4", "17.1", "11.2", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.24135926747", "54.5", "16.0", "13.8", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.25801486755", "54.6", "15.3", "14.7", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.27468066763", "54.7", "16.4", "16.0", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.29134726744", "54.8", "15.9", "16.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.30800556726", "54.9", "18.4", "19.7", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.3246681677", "55.0", "22.6", "20.8", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.35800946766", "55.1", "16.7", "7.5", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.37507656732", "54.0", "17.2", "15.3", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.39133676742", "53.9", "15.7", "19.2", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.40799166735", "54.0", "15.9", "23.7", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.42465266764", "54.0", "16.9", "24.1", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.45799066755", "54.9", "16.5", "10.1", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.47464776773", "54.0", "16.0", "11.4", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.49132476761", "54.0", "16.2", "12.7", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.50798576759", "54.0", "16.6", "13.8", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.52464406763", "54.0", "16.5", "14.9", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.54130656752", "54.0", "15.6", "18.7", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.55797036764", "54.0", "16.2", "19.8", "97", "34", "38", "50", "31", "26", "32", "25", "40", "27", "25", "26", "26", "48", "33", "58", "32", "27"
"1309.57463666749", "54.0", "15.7", "21.1", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.59130376722", "54.0", "17.1", "22.1", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.62462526764", "54.0", "15.6", "7.4", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.64129286795", "53.9", "16.7", "11.3", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.65796766757", "54.0", "15.9", "11.4", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.67462986722", "54.0", "16.2", "13.3", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.69129406764", "54.0", "17.3", "14.5", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.70794656767", "54.0", "16.2", "16.2", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.72461336747", "54.0", "17.2", "19.1", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.74127796773", "54.0", "15.6", "21.0", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.75794106747", "54.0", "16.1", "22.3", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.77461206736", "54.0", "18.2", "22.8", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.80793236743", "54.0", "15.5", "7.8", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.8246004676", "53.9", "16.6", "10.9", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.84125836775", "54.0", "16.8", "11.4", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.85793776735", "54.0", "15.7", "13.0", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.87459936765", "54.0", "16.5", "14.9", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.89125126769", "54.0", "16.8", "15.6", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.90791856726", "54.0", "16.1", "16.8", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.92458146755", "54.0", "16.1", "20.3", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.94125326737", "54.0", "16.2", "21.6", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.95792086759", "54.0", "15.1", "23.9", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1309.9912411674", "54.0", "17.4", "6.8", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1310.00789936763", "53.9", "17.0", "9.9", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1310.02457736781", "54.0", "16.2", "12.8", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
"1310.04124286782", "54.0", "16.5", "15.1", "97", "34", "49", "41", "34", "26", "31", "26", "43", "27", "26", "23", "25", "47", "44", "44", "34", "29"
