sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T18:43:28.1576761+00:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1498.87159576741", "51.0", "24.6", "31.2", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1498.89659666771", "0.0", "24.6", "34.1", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1498.92159416722", "40.0", "29.7", "41.3", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1498.9465906674", "40.0", "26.1", "45.4", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1498.97158666777", "40.0", "31.9", "53.8", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.02157396778", "40.0", "29.7", "35.9", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.0465754678", "33.3", "26.6", "41.1", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.07157066773", "34.3", "30.1", "48.5", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.09656196782", "35.0", "29.8", "55.3", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.14655596767", "35.6", "30.5", "36.2", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.17155486772", "32.7", "35.6", "51.0", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.22154596754", "33.3", "24.1", "29.3", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.24654166731", "31.4", "29.2", "34.6", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.27153846744", "32.0", "27.0", "39.7", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.29692966783", "32.5", "26.5", "43.3", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.3215344673", "32.9", "28.0", "49.1", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.3465248676", "33.3", "25.1", "54.6", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.39651846745", "33.7", "25.3", "32.5", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.42151696772", "32.4", "26.9", "36.1", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.44651776758", "32.7", "24.1", "39.0", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.4715119675", "33.0", "26.2", "42.4", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.49650996744", "33.3", "23.9", "46.4", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.52149756759", "33.6", "24.5", "49.2", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.54649496743", "33.9", "24.1", "52.3", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.5964938672", "34.1", "23.6", "30.7", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.62148696777", "33.1", "24.2", "32.5", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.64647986761", "33.3", "24.7", "34.2", "80", "41", "63", "47", "41", "32", "40", "32", "51", "33", "32", "29", "30", "52", "54", "51", "39", "35"
"1499.67148136749", "33.6", "26.8", "39.7", "80", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.69647536744", "33.8", "26.1", "42.6", "80", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.72147536744", "33.9", "23.1", "44.5", "80", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.74646936747", "34.1", "23.1", "46.5", "80", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.77146116765", "34.3", "25.6", "50.0", "80", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.79645646725", "34.4", "26.1", "53.3", "80", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.84644916719", "34.6", "25.0", "31.8", "80", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.87144506785", "33.9", "26.5", "35.3", "80", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.89645026785", "34.0", "26.0", "40.3", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.92143836749", "34.0", "28.5", "45.3", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.9464379675", "34.0", "29.4", "51.6", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1499.99665056727", "34.0", "26.1", "31.5", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.02142896766", "33.8", "27.2", "36.1", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.04642626733", "34.0", "23.9", "39.9", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.07142306733", "34.0", "27.9", "44.5", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.09641806753", "34.0", "24.7", "48.0", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.12140866757", "34.0", "27.4", "51.9", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.17140526721", "34.9", "25.1", "31.2", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.1963971676", "34.0", "25.2", "34.8", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.22139656754", "34.9", "24.1", "37.5", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.24639846763", "35.0", "25.7", "41.3", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.27139256745", "35.0", "23.3", "43.7", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.2963856677", "35.0", "27.4", "47.2", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.3213829677", "35.0", "25.5", "51.5", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.37143136753", "35.0", "26.1", "30.7", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.39637316788", "34.9", "26.0", "33.7", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
"1500.42136736754", "35.0", "24.4", "36.1", "78", "43", "60", "54", "41", "33", "42", "34", "54", "36", "33", "31", "31", "52", "54", "52", "40", "39"
