sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T19:43:30.7180208+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1291.11847930042", "57.6", "27.1", "28.2", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.1450963004", "0.0", "28.4", "26.1", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.1749412004", "37.6", "26.9", "29.3", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.20729950036", "35.4", "28.7", "27.3", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.24156430031", "33.8", "26.7", "27.4", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.2745408003", "32.5", "28.5", "26.4", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.30769170046", "32.0", "27.1", "28.2", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.33388830041", "31.7", "29.5", "25.5", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.36314780027", "32.5", "26.5", "26.9", "52", "38", "62", "56", "70", "48", "32", "28", "33", "30", "32", "28", "33", "27", "32", "30", "33", "38"
"1291.39042100028", "32.7", "26.6", "26.7", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.41879420027", "33.1", "25.0", "27.9", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.45262750033", "33.3", "27.4", "27.5", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.48748090032", "32.9", "27.7", "27.9", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.52066570046", "32.5", "29.2", "27.1", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.55264590031", "32.3", "28.1", "28.1", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.58626170031", "32.2", "28.8", "28.1", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.61253270038", "32.1", "29.6", "25.5", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.64247010028", "32.4", "26.6", "27.7", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.67644340036", "32.4", "27.1", "26.4", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.70253630028", "32.3", "27.5", "25.5", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.7307743004", "32.5", "26.5", "27.3", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.76478330036", "32.7", "26.6", "29.5", "52", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.79748190045", "32.5", "29.0", "31.1", "53", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.83145460032", "32.4", "33.1", "30.1", "53", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
"1291.86467830033", "32.3", "28.7", "30.5", "53", "39", "59", "59", "69", "53", "31", "29", "33", "31", "32", "30", "31", "31", "32", "30", "33", "40"
