sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T19:48:41.2156196+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1601.59389160042", "42.4", "15.2", "20.1", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.62865240037", "0.0", "14.7", "28.7", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.65039580033", "28.8", "15.7", "20.1", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.6856511004", "35.4", "14.2", "33.6", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.72107040029", "32.7", "18.5", "34.6", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.75500570049", "31.5", "21.1", "32.9", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.78361440041", "31.0", "16.0", "22.9", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.81659380031", "31.6", "13.6", "28.1", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.83961890049", "31.4", "19.7", "19.6", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.86447140039", "32.6", "15.2", "24.0", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.89562420028", "33.3", "14.0", "27.1", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.92086030039", "33.1", "16.1", "23.7", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.95036600038", "33.6", "15.3", "27.8", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1601.97558300037", "33.7", "17.4", "23.8", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1602.0075932004", "34.1", "13.9", "23.9", "46", "50", "72", "63", "83", "60", "41", "41", "38", "45", "42", "44", "43", "42", "42", "43", "42", "54"
"1602.02941290028", "33.8", "15.0", "20.9", "46", "50", "60", "75", "78", "60", "45", "41", "41", "45", "45", "45", "44", "45", "41", "45", "43", "51"
"1602.06260840029", "34.4", "14.9", "26.0", "46", "50", "60", "75", "78", "60", "45", "41", "41", "45", "45", "45", "44", "45", "41", "45", "43", "51"
"1602.08559990032", "34.1", "15.9", "19.5", "46", "50", "60", "75", "78", "60", "45", "41", "41", "45", "45", "45", "44", "45", "41", "45", "43", "51"
"1602.10718490038", "34.6", "15.0", "20.6", "46", "50", "60", "75", "78", "60", "45", "41", "41", "45", "45", "45", "44", "45", "41", "45", "43", "51"
"1602.1302260004", "35.1", "14.5", "22.4", "46", "50", "60", "75", "78", "60", "45", "41", "41", "45", "45", "45", "44", "45", "41", "45", "43", "51"
"1602.16262500027", "35.4", "12.1", "27.9", "46", "50", "60", "75", "78", "60", "45", "41", "41", "45", "45", "45", "44", "45", "41", "45", "43", "51"
"1602.18560600045", "35.2", "12.4", "20.7", "46", "50", "60", "75", "78", "60", "45", "41", "41", "45", "45", "45", "44", "45", "41", "45", "43", "51"
