sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T19:52:52.2724400+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1852.66306620044", "39.2", "10.0", "23.1", "33", "35", "65", "43", "75", "40", "29", "27", "28", "30", "28", "28", "28", "27", "27", "29", "32", "32"
"1852.68577420046", "0.0", "11.6", "18.0", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.70684270045", "44.0", "10.0", "19.9", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.74158830038", "45.7", "11.8", "26.8", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.76359200045", "38.2", "10.8", "18.1", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.78683530049", "39.8", "10.2", "22.5", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.8117607004", "40.4", "10.5", "24.3", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.84059200045", "40.4", "10.1", "24.4", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.86362400049", "39.4", "10.8", "18.6", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.88560190033", "39.9", "11.2", "19.8", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.90861710044", "40.4", "9.7", "19.7", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.93199330039", "40.7", "10.8", "22.5", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.95467500039", "40.9", "10.0", "22.0", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1852.97896860037", "41.2", "10.9", "23.6", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.0015686004", "41.2", "10.5", "21.9", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.03070880043", "41.4", "10.3", "23.0", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.05271000032", "40.8", "10.8", "16.2", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.07847160027", "41.1", "10.2", "25.1", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.1088008004", "40.9", "10.4", "23.3", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.13078180028", "40.4", "9.8", "19.8", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.15281820048", "40.6", "11.7", "20.2", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.17495480027", "40.8", "10.9", "21.5", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.19748970027", "41.0", "11.0", "21.8", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.22274030039", "41.2", "11.2", "24.5", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.24644240028", "41.1", "11.6", "22.9", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.27555620048", "41.1", "11.3", "23.0", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.29755240046", "40.8", "11.1", "18.4", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.32053820048", "41.0", "12.8", "20.4", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.34366090045", "41.1", "9.1", "22.3", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.37638240038", "41.1", "10.6", "25.0", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.39773540029", "40.7", "10.1", "15.2", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.42065670033", "40.8", "9.8", "19.6", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.44217340028", "40.9", "9.9", "20.7", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.4673511004", "41.1", "10.0", "24.5", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.49762400039", "41.0", "9.6", "24.7", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.52058270042", "40.7", "10.1", "19.4", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.5419721004", "40.8", "9.2", "20.7", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.56897730038", "41.0", "9.9", "26.2", "33", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.59802170029", "40.8", "10.5", "23.1", "37", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.62151950027", "40.6", "10.4", "22.8", "37", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.64595000048", "40.7", "10.1", "23.7", "37", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.67660650043", "40.7", "9.4", "26.9", "37", "38", "67", "48", "72", "43", "33", "29", "30", "32", "31", "32", "31", "30", "31", "30", "32", "39"
"1853.7001037004", "40.4", "10.6", "22.7", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.73297800038", "40.3", "9.8", "26.3", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.75422590028", "40.3", "10.3", "20.4", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.78835460039", "40.4", "9.7", "26.4", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.81007650029", "39.9", "9.8", "19.6", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.84409130027", "40.1", "10.4", "28.9", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.86721000026", "39.8", "10.5", "22.2", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.90008090044", "39.7", "10.1", "28.4", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.93306160038", "39.3", "9.6", "21.0", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.95607750045", "38.8", "9.8", "15.7", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1853.97721060028", "38.9", "9.6", "20.3", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.01027920048", "39.1", "10.5", "27.5", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.03226220029", "38.8", "9.3", "19.5", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.05804510036", "38.8", "10.5", "24.7", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.08926430042", "38.8", "10.1", "27.0", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.11206600028", "38.8", "9.8", "22.1", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.13636300049", "38.7", "9.9", "23.7", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.16628540039", "38.6", "9.2", "25.6", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.18830010032", "38.3", "9.2", "20.4", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.21560860036", "38.4", "9.6", "26.0", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.24426220046", "38.3", "10.9", "27.1", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.27046720046", "38.1", "9.4", "25.4", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.30127550044", "38.2", "9.7", "22.8", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.32228350032", "37.7", "10.4", "18.1", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.3445390004", "37.8", "9.5", "21.6", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.37066560028", "38.2", "8.9", "25.4", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.40027560039", "38.2", "9.2", "24.3", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.42327540033", "37.8", "10.2", "20.0", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.44505030039", "37.7", "10.2", "21.0", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.46937530046", "37.8", "10.7", "23.7", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.4930918004", "38.1", "9.2", "23.0", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.52325470043", "38.2", "10.4", "25.1", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.54526550033", "37.7", "9.7", "19.2", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.5687711004", "37.9", "10.5", "22.6", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
"1854.59259950028", "38.0", "9.1", "23.2", "37", "43", "55", "70", "76", "48", "38", "35", "34", "37", "36", "36", "35", "36", "36", "35", "37", "42"
