sep=,
Frametimes/GPU Usage/CPU Usage/2024-02-16T19:40:20.2415773+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1100.61461060028", "61.8", "11.3", "13.8", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.62543830026", "0.0", "11.2", "10.0", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.64759640032", "92.4", "13.0", "19.1", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.66959860039", "60.6", "12.3", "17.3", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.68074240038", "54.6", "11.9", "10.5", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.70360830035", "60.5", "11.8", "17.8", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.71852720028", "56.2", "13.0", "14.3", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.7375268004", "57.7", "15.0", "18.5", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.75860590046", "56.9", "11.6", "17.8", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.7737453004", "55.6", "13.0", "14.5", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.79160330033", "56.6", "12.7", "13.8", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.8031647004", "56.5", "11.7", "10.8", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.82660240032", "58.3", "11.9", "17.0", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.83660550041", "56.6", "12.7", "8.2", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.85867950046", "58.6", "10.7", "16.3", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.87068310044", "57.4", "12.6", "10.0", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.89168280043", "58.6", "12.6", "16.7", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.90352470027", "57.7", "12.0", "11.2", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.92565970032", "58.8", "11.9", "18.7", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.94042930028", "57.9", "11.9", "14.3", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.95866360042", "58.3", "11.8", "14.3", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.97159350028", "58.1", "11.6", "12.3", "72", "36", "63", "49", "70", "48", "29", "27", "30", "28", "30", "25", "30", "26", "29", "25", "28", "34"
"1100.99266440036", "58.8", "11.1", "14.6", "72", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.00467700032", "58.2", "11.9", "8.6", "72", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.0181257004", "59.0", "11.4", "12.9", "72", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.03766050032", "59.5", "10.6", "14.7", "72", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.04868090044", "59.1", "12.5", "8.9", "72", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.06967670032", "59.9", "10.6", "15.2", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.08169940044", "59.3", "10.8", "8.2", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.09548690039", "59.9", "11.7", "13.2", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.11567790043", "60.3", "11.0", "14.7", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.1266938004", "59.9", "12.8", "7.9", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.14114540049", "60.5", "11.7", "13.6", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.15968110027", "60.8", "11.2", "14.4", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.17471460043", "60.5", "11.7", "14.1", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.19273350031", "60.7", "11.7", "14.3", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.20723750027", "60.5", "11.9", "13.9", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.22670100043", "60.7", "12.8", "13.8", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.24100660049", "60.4", "12.1", "13.6", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.25982630044", "60.7", "11.8", "14.4", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.28284510032", "60.4", "11.5", "16.3", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.2959486004", "59.9", "11.1", "12.5", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.31736000029", "60.2", "11.2", "20.9", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.33787670033", "59.8", "11.4", "18.0", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.37185800049", "59.5", "13.5", "27.3", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
"1101.39285640034", "58.1", "18.8", "19.5", "69", "37", "61", "51", "68", "50", "32", "28", "33", "28", "34", "26", "34", "27", "32", "27", "33", "37"
