sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T19:47:10.7437777+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1881.53569198874", "90.0", "7.6", "7.3", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.54777608834", "0.0", "8.4", "7.0", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.55830138889", "82.8", "9.0", "8.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.56958818884", "88.5", "7.9", "9.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.5801666884", "88.5", "7.7", "8.7", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.5916889887", "89.9", "6.8", "8.9", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.60275348872", "89.3", "7.1", "8.3", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.61355548869", "89.5", "7.0", "8.1", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.62513048895", "89.9", "8.3", "8.8", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.63567808896", "89.4", "8.0", "9.5", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.6475850883", "90.0", "8.1", "10.9", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.66014598899", "89.4", "7.9", "11.9", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.67209388828", "88.4", "7.8", "11.4", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.69180698831", "88.0", "5.7", "10.8", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.69137267769", "83.3", "6.5", "7.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.71368388888", "89.9", "8.5", "8.6", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.72513798898", "84.3", "8.2", "9.4", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.73631348822", "84.5", "7.6", "8.8", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.7476925886", "84.7", "7.3", "8.9", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.75875528871", "84.9", "6.5", "9.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.76956368894", "85.2", "7.5", "10.4", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.78153948858", "85.5", "7.2", "11.5", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.7924403887", "85.4", "7.5", "10.5", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.80431298849", "85.7", "7.1", "11.4", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.81559828893", "85.6", "7.7", "10.9", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.82645888885", "85.7", "5.7", "10.4", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.83759108826", "86.0", "5.3", "10.7", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.84831298837", "86.1", "7.3", "10.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.85849498887", "86.4", "7.1", "9.7", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.87135818898", "86.7", "6.9", "12.5", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.89174228862", "86.4", "8.8", "12.1", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.89167217746", "84.3", "7.0", "6.9", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.91362278908", "87.1", "8.2", "7.3", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.9247117883", "84.7", "8.0", "6.7", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.93557098846", "84.8", "8.3", "6.9", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.9475954884", "85.0", "8.5", "7.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.95782368907", "85.0", "8.4", "7.1", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.96932548868", "85.3", "8.2", "7.4", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.98069908817", "85.3", "8.6", "7.0", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1881.99172008884", "85.4", "8.1", "7.4", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1882.00224058824", "85.5", "8.0", "8.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1882.01408368847", "85.7", "8.7", "9.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1882.02458748891", "85.7", "6.3", "8.7", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1882.03559408881", "85.9", "7.6", "9.4", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1882.04677478819", "86.0", "7.4", "9.2", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1882.05875258863", "86.1", "6.9", "9.7", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1882.0697619884", "86.0", "7.4", "8.6", "38", "40", "50", "52", "45", "32", "47", "50", "40", "58", "23", "27", "28", "34", "29", "32", "36", "54"
"1882.0828477885", "86.1", "6.6", "12.6", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.0937864883", "85.9", "6.0", "10.5", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.1040207883", "86.0", "6.4", "9.8", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.11433738828", "86.2", "5.8", "9.9", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.12476988857", "86.4", "7.4", "10.0", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.13657878885", "86.6", "7.5", "11.0", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.14787158851", "86.5", "6.7", "10.6", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.15826668869", "86.6", "7.1", "9.8", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.16959078862", "86.7", "7.8", "9.9", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.1809694884", "86.8", "7.2", "10.9", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.19243538887", "86.8", "8.2", "11.0", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.20384938818", "86.8", "2.1", "11.0", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.21508808862", "86.8", "7.7", "10.8", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.22571548892", "86.8", "5.2", "10.2", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.23668648849", "87.0", "2.1", "10.5", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.24825478838", "87.0", "7.0", "11.1", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.26042508896", "87.0", "7.7", "11.7", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.28091568856", "86.9", "5.8", "12.6", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.28045447682", "85.9", "7.3", "7.9", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.29106277703", "87.3", "7.8", "8.5", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.31367948884", "87.4", "7.9", "9.7", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.32496658863", "86.1", "7.5", "9.7", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.3363100886", "86.2", "7.3", "10.2", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.34733698872", "86.2", "7.4", "9.9", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.35822488871", "86.2", "7.3", "10.4", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.37099848868", "86.3", "7.8", "12.3", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.39138528836", "86.2", "8.8", "12.5", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.39171797714", "85.3", "7.2", "8.1", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.41390668908", "86.4", "8.3", "8.4", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.42450168846", "85.4", "7.7", "9.5", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.43688348867", "85.5", "8.3", "11.7", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.44810078821", "85.4", "8.4", "10.8", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.45976658902", "85.5", "7.1", "11.2", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.47206458837", "85.5", "7.1", "11.8", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.49123498821", "85.4", "7.5", "11.0", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.49164417729", "84.8", "6.1", "7.7", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.50215157695", "85.8", "9.7", "7.2", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.52436468843", "85.9", "8.9", "8.0", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.53592748896", "85.0", "8.7", "9.2", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.54692588832", "85.0", "8.0", "8.4", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.55953548847", "85.1", "8.1", "12.0", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.58028728887", "84.9", "9.5", "12.9", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.59134408901", "84.0", "6.5", "8.0", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.59123087711", "84.0", "9.0", "8.3", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.61331168893", "85.0", "8.0", "8.5", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.62438578819", "84.0", "8.0", "8.4", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.63627718817", "84.1", "8.6", "8.7", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.64728708895", "83.9", "7.9", "8.3", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.65920138843", "84.0", "8.0", "8.1", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.66917678899", "84.1", "8.5", "7.1", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.68021978819", "84.2", "8.2", "9.1", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.69183598854", "85.0", "7.8", "9.8", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
"1882.70233828861", "84.9", "8.0", "9.6", "38", "40", "47", "57", "46", "32", "47", "50", "39", "60", "24", "29", "30", "37", "29", "31", "38", "49"
