sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T19:41:00.3198371+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1511.12364288859", "86.7", "3.0", "2.1", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.13417698862", "88.1", "3.7", "2.4", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.14545428864", "90.3", "3.7", "2.2", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.15700358859", "89.9", "3.1", "2.2", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.16829908856", "89.2", "4.0", "2.0", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.17845038862", "89.1", "3.5", "2.1", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.19037068866", "90.3", "3.5", "2.3", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.20088008863", "89.5", "3.0", "2.1", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.2124555886", "90.1", "3.6", "2.1", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.22349888864", "89.7", "4.1", "2.2", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.23399128867", "89.8", "4.1", "2.2", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.24559028865", "90.2", "2.7", "2.3", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.25660698865", "89.9", "4.0", "2.2", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.26753528867", "89.9", "3.6", "2.2", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.2783919886", "90.0", "2.7", "2.2", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.2906049886", "90.2", "3.9", "2.1", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.30136528858", "89.6", "4.0", "2.1", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.31188158866", "89.8", "3.8", "2.1", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.32340028863", "90.1", "2.7", "2.0", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.33444638858", "89.9", "3.6", "2.2", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.3456781886", "89.9", "3.8", "2.0", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
"1511.35618948858", "89.9", "3.7", "2.3", "44", "38", "49", "46", "49", "38", "48", "41", "43", "44", "27", "28", "30", "33", "27", "29", "39", "40"
