sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T20:04:54.7341531+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"2945.54367658852", "59.1", "9.6", "11.5", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.55490017646", "0.0", "6.7", "15.4", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.57704288825", "89.1", "9.7", "10.4", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.58751747697", "59.9", "6.3", "17.0", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.61161008866", "68.4", "8.4", "12.3", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.62114907676", "58.9", "8.0", "17.7", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.64324967721", "64.5", "8.6", "15.9", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.67662198855", "60.3", "9.8", "13.2", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.67696277813", "52.7", "7.4", "8.5", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.69847467722", "60.0", "9.7", "14.9", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.72109278886", "58.1", "8.7", "10.0", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.73203617642", "56.4", "8.1", "16.1", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.75447928904", "58.4", "8.3", "9.7", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.76823258866", "56.9", "8.4", "12.9", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.7766529779", "57.9", "7.7", "16.1", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.81030068861", "60.1", "8.0", "13.3", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.8096740764", "56.3", "8.1", "8.2", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.83210747733", "60.2", "9.2", "15.3", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.85445658813", "58.9", "9.7", "9.6", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.86544797707", "57.9", "9.0", "16.6", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.88761088895", "59.0", "8.3", "10.5", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.89856207708", "58.2", "8.0", "16.2", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.9214004881", "59.2", "8.4", "11.1", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.93254537682", "58.2", "8.5", "18.0", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.95429377673", "59.1", "9.0", "13.7", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
"2945.97632588785", "58.4", "8.2", "9.1", "57", "50", "70", "56", "58", "44", "55", "60", "57", "59", "35", "39", "43", "39", "41", "39", "55", "56"
