sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T20:12:45.5972195+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"3416.29402189596", "59.1", "202.3", "87.9", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.50355833015", "0.0", "15.3", "74.8", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.58063652833", "4.8", "15.8", "43.2", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.64730027764", "7.0", "42.8", "18.3", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.67031945605", "8.5", "12.3", "38.4", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.71439465286", "10.6", "13.2", "42.4", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.76994396576", "11.9", "14.4", "38.4", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.80293765336", "12.6", "13.0", "42.4", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.8583897632", "13.8", "15.1", "37.4", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.89207975422", "14.2", "13.4", "42.2", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.93683945493", "15.0", "12.2", "36.9", "37", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3416.98084115291", "15.6", "12.8", "42.6", "41", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3417.02515895367", "16.0", "13.3", "40.6", "41", "62", "71", "67", "62", "61", "69", "71", "66", "68", "53", "53", "52", "56", "56", "54", "64", "67"
"3417.06974254263", "16.4", "13.0", "50.5", "41", "65", "77", "66", "67", "62", "71", "77", "71", "67", "55", "52", "57", "57", "60", "55", "71", "67"
"3417.12505335509", "16.8", "13.0", "36.5", "41", "65", "77", "66", "67", "62", "71", "77", "71", "67", "55", "52", "57", "57", "60", "55", "71", "67"
"3417.17003615431", "16.8", "13.5", "43.5", "41", "65", "77", "66", "67", "62", "71", "77", "71", "67", "55", "52", "57", "57", "60", "55", "71", "67"
"3417.22505325589", "17.1", "12.5", "49.6", "41", "65", "77", "66", "67", "62", "71", "77", "71", "67", "55", "52", "57", "57", "60", "55", "71", "67"
"3417.27022295466", "17.2", "13.6", "44.2", "41", "65", "77", "66", "67", "62", "71", "77", "71", "67", "55", "52", "57", "57", "60", "55", "71", "67"
"3417.32635536429", "17.4", "13.5", "43.7", "41", "65", "77", "66", "67", "62", "71", "77", "71", "67", "55", "52", "57", "57", "60", "55", "71", "67"
