sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T19:52:15.9508423+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"2186.75139666417", "82.9", "26.6", "27.1", "55", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2186.78515916475", "0.0", "27.6", "25.5", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2186.81832176482", "29.6", "25.5", "26.3", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2186.85139906443", "29.9", "23.8", "26.1", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2186.88827457632", "30.0", "27.8", "25.2", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2186.91832947783", "29.2", "24.5", "26.4", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2186.94089006461", "30.0", "24.8", "26.3", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2186.97437436502", "31.7", "25.8", "24.7", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.00698316479", "31.4", "24.6", "28.1", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.04309817647", "31.3", "24.3", "24.4", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.06277396506", "30.9", "24.5", "25.2", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.0964122642", "32.1", "23.9", "26.7", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.12902276402", "31.9", "28.3", "25.4", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.16245846428", "31.8", "23.1", "28.3", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.19580506407", "31.6", "28.5", "25.5", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.22961406554", "31.5", "24.7", "27.6", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.26255026458", "31.4", "28.8", "26.4", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.29632996565", "31.3", "25.2", "27.2", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.32930506515", "31.2", "28.3", "26.8", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.36238096466", "31.1", "27.3", "30.4", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.41818958879", "31.1", "30.5", "25.5", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.41791025386", "30.0", "25.0", "27.5", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
"2187.46307706549", "31.5", "27.5", "28.1", "54", "43", "64", "52", "50", "42", "56", "53", "48", "52", "28", "28", "35", "37", "31", "33", "44", "40"
