sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T18:47:10.9410882+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1915.09264396762", "120.0", "7.1", "5.9", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.10097216759", "0.0", "6.1", "7.8", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.10930476723", "120.1", "7.1", "9.4", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.11764266755", "120.0", "8.8", "11.4", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.12597256761", "120.0", "6.8", "14.1", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.14264006729", "120.0", "7.9", "8.7", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.15096856755", "100.0", "3.2", "11.3", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.15929836782", "102.9", "6.9", "14.0", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.17596486772", "105.0", "8.4", "8.1", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.18429666744", "96.0", "8.6", "11.5", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.19263076745", "98.2", "3.6", "14.6", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.20927836762", "100.0", "8.4", "8.3", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.21762146748", "94.3", "8.3", "10.4", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.22595956749", "96.0", "7.8", "12.0", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.23429156785", "97.5", "3.7", "14.1", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.25142936764", "98.8", "7.7", "6.1", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.25928386759", "94.5", "5.1", "7.6", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.26761926756", "96.0", "7.7", "9.5", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.27595276746", "97.2", "3.4", "10.6", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.28428146771", "98.2", "7.1", "12.1", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.2926325677", "99.1", "6.7", "14.2", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.30927666747", "100.0", "7.9", "10.9", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.31760586749", "96.9", "2.1", "12.6", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.32594406767", "97.8", "6.7", "14.5", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.34260616739", "98.6", "7.5", "7.1", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.35093566727", "96.0", "6.1", "8.2", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.35927336772", "96.8", "3.2", "9.8", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.36760416752", "97.5", "8.3", "11.6", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.37593636752", "98.2", "7.1", "13.2", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.38426796749", "98.8", "6.3", "14.3", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.40093056768", "99.4", "3.7", "7.5", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.40926506746", "97.3", "6.7", "8.6", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.41760196746", "97.9", "7.5", "9.7", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.42592486738", "98.5", "8.3", "11.2", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.43425886739", "99.0", "1.6", "12.7", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.44259236746", "99.5", "6.8", "14.1", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.45929196762", "100.0", "7.7", "6.9", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.46758316765", "98.2", "6.0", "8.6", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.47592156742", "98.7", "3.3", "10.3", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.48425006743", "99.1", "7.6", "12.0", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
"1915.49258236782", "99.6", "7.0", "13.6", "47", "32", "58", "34", "31", "18", "29", "20", "38", "21", "27", "18", "29", "38", "68", "28", "28", "21"
