sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T18:41:00.2095099+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1544.36374796788", "119.0", "5.2", "1.6", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.37208456779", "0.0", "5.7", "1.6", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.38040736779", "120.0", "4.4", "1.7", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.38874726734", "120.1", "4.1", "1.6", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.39707626723", "120.0", "4.1", "1.7", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.40541276753", "120.0", "5.5", "1.8", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.41374656734", "120.0", "4.8", "1.8", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.42205416744", "120.0", "5.1", "1.7", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.43040626775", "120.1", "4.3", "2.0", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.43874056776", "120.0", "4.7", "2.2", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.4470762675", "120.0", "5.4", "1.7", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.45540346723", "120.0", "5.5", "1.7", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.46375226731", "120.0", "5.5", "1.8", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.47206476775", "120.0", "4.6", "1.8", "64", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.48039986778", "120.0", "4.2", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.48873516788", "120.0", "6.0", "1.7", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.49706576758", "120.0", "4.8", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.50542016783", "120.0", "5.0", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.51374626758", "120.0", "4.1", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.52205946719", "120.0", "4.4", "1.5", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.53039256778", "120.0", "4.6", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.5387216676", "120.0", "5.0", "1.5", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.54705986759", "120.0", "4.4", "1.5", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.55538816787", "120.0", "4.1", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.56372086751", "120.0", "4.1", "1.7", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.57205316768", "120.0", "4.2", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.58038596774", "120.0", "5.4", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.58871786761", "120.0", "4.3", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.59704836735", "120.0", "4.3", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.60538366752", "120.0", "5.2", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.61371676737", "120.0", "4.1", "1.5", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.62204556747", "120.0", "4.6", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.63038006744", "120.0", "4.9", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.6387071675", "120.0", "4.1", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.64704276752", "120.0", "4.1", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.65537356726", "120.0", "4.1", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.66370896757", "120.0", "4.6", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.6720380676", "120.0", "4.7", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.68037046743", "120.0", "4.1", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.68869916725", "120.0", "4.1", "1.7", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.6970372677", "120.0", "4.6", "1.5", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.70536676729", "120.0", "4.6", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.71369816748", "120.0", "5.1", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.72203056755", "120.0", "4.1", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.73036346774", "120.0", "4.4", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.73869436788", "120.0", "4.6", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.74702776743", "120.0", "4.8", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.7553588676", "120.0", "5.1", "1.7", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.76369116765", "120.0", "4.4", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.77202326739", "120.0", "4.1", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.78035686778", "120.0", "5.0", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.78868546757", "120.0", "4.6", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.79701966741", "120.0", "4.3", "1.5", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.8053525677", "120.0", "4.1", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.81368326759", "120.0", "4.1", "1.7", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.82201286729", "120.0", "4.6", "1.7", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.83034866765", "120.0", "4.4", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.83868056749", "120.0", "4.3", "1.5", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.84701586781", "120.0", "4.1", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.85534466757", "120.0", "4.1", "1.8", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.86367646742", "120.0", "4.6", "1.7", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.8720076675", "120.0", "4.6", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
"1544.8803408674", "120.0", "5.5", "1.6", "66", "33", "64", "40", "34", "22", "37", "21", "40", "23", "29", "21", "37", "28", "48", "35", "31", "23"
