sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T18:56:37.1519580+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"2481.29283176722", "40.0", "12.7", "13.4", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.3261389675", "0.0", "13.8", "8.8", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.34279586733", "30.0", "13.0", "26.3", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.37612506725", "40.0", "15.2", "21.5", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.40945516735", "36.0", "12.2", "21.1", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.44278386736", "34.3", "14.8", "20.8", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.47610936788", "33.3", "12.1", "20.3", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.50944696723", "32.7", "13.9", "19.9", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.54277026779", "32.3", "12.9", "15.2", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.57610266731", "32.0", "13.3", "13.6", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.60942276746", "31.8", "12.3", "10.7", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.64275576756", "31.6", "14.7", "8.9", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.65942666756", "31.4", "13.6", "23.1", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.69274706762", "32.7", "12.1", "21.1", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.7260768676", "32.5", "13.0", "20.3", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.75940056753", "32.3", "13.1", "16.7", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.79273426775", "32.1", "13.3", "16.4", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.82605946739", "32.0", "12.6", "15.7", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.85938866772", "31.9", "12.9", "12.4", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.89272736772", "31.8", "12.3", "10.9", "61", "60", "74", "63", "57", "46", "67", "48", "72", "54", "57", "49", "58", "61", "71", "65", "62", "51"
"2481.90938216758", "31.7", "12.7", "24.6", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2481.94273906724", "32.4", "14.3", "22.7", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2481.97604106743", "32.3", "12.8", "21.5", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.00936506719", "32.2", "11.8", "20.4", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.04269216764", "32.1", "12.4", "17.4", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.07602086756", "32.0", "12.5", "16.1", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.10935596753", "31.9", "12.6", "12.3", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.14268296738", "31.8", "12.9", "14.6", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.17601126778", "31.8", "12.5", "12.1", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.20933286724", "31.7", "12.1", "12.5", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.24305786774", "31.6", "13.0", "14.5", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.27599206759", "31.6", "14.1", "14.6", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.30932236753", "31.5", "12.0", "13.2", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.34267236757", "31.5", "13.0", "12.2", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.37598406728", "31.0", "12.5", "10.2", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.39264386759", "31.0", "14.1", "25.7", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.42597506732", "31.5", "14.8", "23.0", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.45930216755", "31.5", "13.5", "20.3", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.49262536746", "31.5", "12.5", "19.7", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.52595806722", "31.5", "13.4", "18.1", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.55928426749", "31.5", "11.9", "16.5", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.59262246737", "31.5", "12.7", "12.0", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.6259454676", "31.5", "12.8", "19.5", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.65926796785", "31.5", "11.7", "20.2", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.69260136737", "31.0", "11.7", "10.8", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.70926646777", "31.0", "13.2", "21.7", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
"2482.74258856728", "31.5", "11.4", "14.3", "58", "51", "68", "61", "49", "37", "57", "37", "63", "40", "46", "38", "50", "54", "61", "65", "47", "39"
