sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T19:12:45.4877023+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"3449.60077536723", "58.0", "18.1", "36.4", "60", "44", "61", "49", "44", "29", "45", "32", "55", "37", "41", "30", "53", "35", "70", "49", "45", "33"
"3449.65077066733", "0.0", "20.7", "29.7", "60", "44", "61", "49", "44", "29", "45", "32", "55", "37", "41", "30", "53", "35", "70", "49", "45", "33"
"3449.70076736723", "20.0", "21.9", "24.4", "60", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3449.75076296729", "20.0", "21.9", "22.9", "60", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3449.80075476726", "20.0", "23.2", "18.3", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3449.82574956732", "20.0", "26.4", "41.9", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3449.87573346746", "22.2", "22.5", "36.7", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3449.92572636764", "21.8", "23.5", "31.2", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3449.97572956783", "21.5", "18.8", "23.4", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.02572116761", "21.3", "21.3", "16.6", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.05071356776", "21.2", "1.2", "54.7", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.17570096763", "22.2", "22.3", "30.1", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.22568986751", "19.1", "18.9", "36.3", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.27568436724", "19.2", "18.6", "26.2", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.30067746755", "19.3", "21.8", "37.9", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.35068246748", "20.0", "22.7", "26.8", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.37566886762", "20.0", "20.5", "39.3", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.42565956747", "20.6", "19.7", "27.3", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.47565556752", "20.6", "20.7", "17.7", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.50065876742", "20.6", "20.2", "32.0", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.55064066734", "21.1", "18.8", "20.4", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.57563926747", "21.1", "21.3", "33.3", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.62561016725", "21.5", "17.6", "24.1", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.65062856768", "21.5", "19.7", "37.6", "59", "45", "60", "50", "46", "33", "45", "34", "54", "38", "41", "33", "43", "49", "67", "49", "44", "36"
"3450.70061856747", "22.0", "19.1", "26.3", "59", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3450.72561906762", "22.0", "22.0", "38.9", "59", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3450.7756071673", "22.6", "20.4", "28.3", "59", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3450.80060506755", "22.6", "22.0", "41.7", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3450.85059946746", "23.0", "20.3", "29.3", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3450.87559576753", "22.6", "24.4", "42.2", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3450.92563686753", "23.0", "17.9", "29.9", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3450.97558656757", "23.0", "20.7", "18.6", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.00057676782", "23.0", "19.5", "35.1", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.05056806762", "23.6", "24.5", "24.6", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.07556456746", "23.0", "20.7", "39.6", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.12555616745", "25.6", "19.5", "28.2", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.15055786729", "25.3", "20.8", "41.6", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.20054456745", "25.6", "19.4", "28.4", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.25075646755", "25.6", "19.0", "20.1", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.27553816742", "25.6", "23.4", "33.8", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.32553046753", "26.0", "20.0", "23.6", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.35052586777", "25.6", "21.0", "38.3", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.40051446773", "26.0", "18.5", "26.4", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.4255176677", "25.6", "21.2", "38.3", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.47550766778", "26.0", "21.4", "27.2", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.50050506727", "26.0", "20.9", "40.4", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.55049656786", "26.0", "20.4", "30.8", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.57549196731", "26.0", "21.8", "43.6", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.62548576735", "26.0", "23.5", "38.9", "64", "48", "62", "54", "49", "36", "51", "35", "56", "39", "46", "35", "47", "51", "74", "52", "49", "37"
"3451.67547506767", "26.0", "23.3", "27.8", "64", "48", "63", "54", "48", "35", "49", "37", "58", "39", "44", "35", "47", "51", "70", "51", "49", "37"
"3451.70047806724", "25.6", "19.1", "42.5", "64", "48", "63", "54", "48", "35", "49", "37", "58", "39", "44", "35", "47", "51", "70", "51", "49", "37"
"3451.7504677676", "26.0", "21.0", "31.5", "64", "48", "63", "54", "48", "35", "49", "37", "58", "39", "44", "35", "47", "51", "70", "51", "49", "37"
"3451.77547066734", "25.6", "18.2", "44.5", "64", "48", "63", "54", "48", "35", "49", "37", "58", "39", "44", "35", "47", "51", "70", "51", "49", "37"
"3451.82545506743", "26.0", "18.5", "24.3", "64", "48", "63", "54", "48", "35", "49", "37", "58", "39", "44", "35", "47", "51", "70", "51", "49", "37"
"3451.87544936747", "25.6", "18.7", "13.5", "62", "48", "63", "54", "48", "35", "49", "37", "58", "39", "44", "35", "47", "51", "70", "51", "49", "37"
"3451.90045016743", "25.0", "18.1", "26.3", "62", "48", "63", "54", "48", "35", "49", "37", "58", "39", "44", "35", "47", "51", "70", "51", "49", "37"
