sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T18:52:16.5061718+01:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"2220.63954476747", "94.0", "18.0", "28.9", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.65621376749", "0.0", "17.8", "34.1", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.68954506741", "60.0", "20.3", "24.0", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.7062035678", "40.0", "19.9", "32.7", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.72287176735", "45.0", "19.7", "39.0", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.75619916736", "48.0", "18.1", "29.5", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.77286386727", "42.9", "21.6", "36.8", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.80619336747", "45.0", "18.7", "26.6", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.82285536755", "42.0", "17.9", "32.0", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.83951906743", "43.6", "16.8", "37.4", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.87284956724", "45.0", "18.9", "25.7", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.88951496756", "42.9", "18.5", "32.8", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.90617176767", "44.0", "21.3", "39.3", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.9395044676", "45.0", "18.2", "28.8", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.95616926764", "43.3", "19.7", "34.6", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2220.98950056766", "44.2", "16.2", "24.1", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2221.00616556745", "42.9", "20.5", "28.5", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2221.02282536752", "43.6", "18.5", "34.2", "71", "43", "60", "61", "42", "30", "42", "32", "54", "35", "36", "30", "33", "51", "48", "66", "38", "34"
"2221.05615436753", "44.4", "19.4", "24.1", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.07281646726", "43.2", "16.5", "28.2", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.08947936774", "43.9", "18.1", "32.8", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.10614676783", "44.5", "15.6", "38.5", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.12280776751", "45.0", "20.9", "44.5", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.14780336725", "45.5", "18.5", "41.8", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.1728006674", "45.3", "19.0", "40.3", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.19779636777", "45.0", "16.7", "37.7", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.22279666725", "44.8", "21.7", "35.8", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.24810076753", "44.6", "18.9", "33.8", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.27278156757", "44.4", "18.6", "31.7", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.29778786736", "44.2", "17.3", "30.9", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.32278456776", "44.1", "20.9", "27.6", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.34777836786", "43.9", "17.5", "25.0", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.37277486754", "43.8", "18.0", "22.6", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.39777646747", "43.6", "17.4", "21.4", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.42276136772", "43.5", "17.2", "23.1", "71", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.44776936751", "43.4", "17.9", "21.7", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.47275756766", "43.3", "17.7", "22.7", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.49776366752", "43.2", "19.2", "23.6", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.5227504676", "43.1", "17.4", "21.7", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.54775036757", "43.0", "16.6", "21.8", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.57274446774", "42.9", "17.7", "21.5", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.59774606731", "42.9", "16.1", "21.1", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.62273676751", "42.8", "17.6", "21.3", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.64773856721", "42.7", "17.1", "21.0", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.67273176748", "42.4", "16.8", "21.1", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.69773056744", "42.7", "17.5", "21.4", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.72272656728", "42.4", "19.4", "25.1", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.74771856779", "42.0", "18.5", "22.7", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.77271286762", "42.4", "18.3", "23.5", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.79771526752", "42.0", "17.3", "23.0", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.82270996771", "42.4", "18.4", "23.2", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.84770346742", "42.0", "17.2", "21.9", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.87269886746", "42.1", "17.8", "21.6", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.89769016734", "42.0", "16.5", "21.8", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
"2221.92268936779", "41.4", "18.3", "22.2", "78", "45", "57", "63", "43", "32", "44", "34", "56", "38", "37", "33", "37", "54", "47", "62", "41", "36"
