sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T19:47:10.7663226+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1169.1448379002", "89.8", "4.9", "5.0", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.15597850081", "0.0", "4.8", "5.3", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.1671155008", "89.8", "5.4", "6.1", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.17825330031", "89.8", "5.6", "5.2", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.1893920005", "89.8", "5.2", "5.2", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.20053110081", "89.8", "5.0", "5.1", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.2116718004", "89.8", "4.9", "5.2", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.22280130006", "89.8", "5.0", "5.3", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.23393690054", "89.8", "5.3", "5.0", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.24507570019", "89.8", "4.8", "5.2", "32", "19", "29", "12", "53", "20", "17", "7", "16", "44", "14", "6", "39", "9", "7", "8", "19", "7"
"1169.25621539996", "89.8", "5.0", "5.9", "32", "19", "29", "12", "58", "21", "17", "7", "18", "42", "15", "6", "36", "9", "7", "8", "21", "7"
