sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T20:04:54.4443627+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"2232.82455140024", "78.6", "6.4", "11.8", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.83568930057", "0.0", "6.8", "12.5", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.8468308006", "89.8", "7.2", "12.4", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.85796850052", "89.8", "6.1", "12.0", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.86909980027", "89.8", "6.2", "11.7", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.88024040047", "89.8", "7.3", "11.6", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.89137750049", "89.8", "6.8", "11.0", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.91362850007", "89.8", "6.5", "13.1", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.92476610072", "78.6", "6.2", "10.9", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.93589980003", "79.8", "6.8", "11.8", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.94703880083", "80.8", "6.2", "11.2", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.95818260043", "81.6", "6.2", "11.6", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.96932020054", "82.3", "6.2", "12.2", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.9804851004", "82.9", "6.7", "12.2", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2232.99162890061", "83.4", "6.1", "11.4", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2233.00277520029", "83.8", "6.3", "11.8", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2233.01391050048", "84.2", "6.3", "11.4", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
"2233.02505270043", "84.5", "6.8", "12.1", "66", "35", "50", "25", "76", "32", "31", "18", "38", "61", "27", "18", "61", "26", "17", "19", "38", "20"
