sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T19:56:37.2060623+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"1735.58974330061", "44.4", "7.9", "17.2", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.61201600026", "0.0", "7.7", "21.1", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.6342615002", "44.9", "8.2", "21.3", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.64543680045", "44.9", "8.7", "18.1", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.66769970017", "53.9", "8.4", "17.9", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.68998120067", "51.3", "7.7", "19.5", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.70114980038", "49.9", "8.0", "19.4", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.72340730029", "53.9", "8.2", "18.7", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.74568570061", "52.4", "8.8", "17.9", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.76796360038", "51.3", "8.6", "19.0", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.77910820038", "50.5", "8.7", "18.8", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.80137840042", "52.8", "8.0", "19.0", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.82364700051", "52.0", "8.5", "20.1", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.84592560067", "51.3", "8.3", "18.9", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
"1735.86819399992", "50.7", "8.2", "21.1", "48", "34", "45", "25", "68", "38", "31", "19", "58", "40", "29", "18", "53", "25", "19", "20", "35", "21"
