sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T20:12:45.5863494+02:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15"
"2703.94119050051", "79.7", "11.8", "31.6", "41", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2703.97459930046", "0.0", "12.7", "32.5", "41", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2704.00800510024", "29.9", "13.1", "33.4", "41", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2704.04139380061", "29.9", "12.1", "32.4", "41", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2704.0748161003", "29.9", "12.4", "31.6", "41", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2704.09711940038", "29.9", "12.0", "30.4", "41", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2704.13050840032", "32.1", "12.0", "31.8", "41", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2704.1639273003", "31.7", "12.2", "31.5", "41", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2704.19737520019", "31.4", "12.7", "31.8", "39", "41", "53", "31", "61", "53", "39", "24", "70", "48", "34", "22", "66", "31", "24", "24", "45", "26"
"2704.2307919002", "31.2", "12.8", "30.5", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.26419580045", "31.1", "13.2", "30.5", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.29760310027", "31.0", "13.4", "34.9", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.33101200064", "30.9", "13.6", "30.4", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.35329130036", "30.8", "13.3", "30.1", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.38670680031", "31.5", "13.7", "30.1", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.42012010049", "31.4", "13.1", "30.8", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.4535357", "31.3", "12.8", "30.6", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.48694210047", "31.2", "13.9", "29.9", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.50922470041", "31.1", "13.8", "29.2", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.54263870038", "31.7", "13.9", "29.6", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.57605370059", "31.6", "14.3", "30.3", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.60947340077", "31.5", "13.7", "29.9", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.64289130043", "31.4", "14.4", "31.6", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.66517190034", "31.4", "14.1", "29.0", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.69859140027", "31.8", "14.2", "30.1", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.7319965006", "31.7", "13.9", "29.9", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.76536460039", "31.6", "14.6", "30.2", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
"2704.78769060036", "31.5", "14.9", "30.1", "39", "41", "51", "30", "75", "41", "38", "24", "72", "46", "36", "23", "64", "33", "24", "24", "42", "26"
