sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T20:47:14.4837896+03:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15","CPU16","CPU17","CPU18","CPU19","CPU20","CPU21","CPU22","CPU23","CPU24","CPU25","CPU26","CPU27"
"1607.20462796743", "120.0", "5.6", "11.3", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.22128746743", "0.0", "5.8", "6.8", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.22962176777", "60.0", "5.4", "9.8", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.25461796768", "80.0", "5.9", "6.9", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.26295026776", "60.0", "4.7", "8.8", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.27128506744", "68.6", "5.9", "11.8", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.28794366767", "75.0", "5.8", "6.4", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.29627766732", "72.0", "4.7", "8.6", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.30460896741", "76.4", "5.9", "11.6", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
"1607.32960476754", "80.0", "5.2", "8.8", "22", "21", "28", "20", "32", "17", "30", "0", "20", "21", "27", "46", "19", "72", "20", "21", "20", "25", "14", "14", "14", "16", "14", "14", "18", "15", "15", "16", "15", "15"
