sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T20:41:03.7622697+03:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15","CPU16","CPU17","CPU18","CPU19","CPU20","CPU21","CPU22","CPU23","CPU24","CPU25","CPU26","CPU27"
"1236.48132916753", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.48966216767", "0.0", "2.6", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.49799256774", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.50632416743", "120.0", "2.6", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.51465626744", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.52298966753", "120.0", "2.5", "1.9", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.53132056745", "120.0", "2.6", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.53965436742", "120.0", "2.5", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.54798486738", "120.0", "2.7", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.55631696753", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.56464946777", "120.0", "2.4", "2.0", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.57298156742", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.58131376765", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.58964566776", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.59797706771", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.60630886737", "120.0", "2.5", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.61464106749", "120.0", "2.5", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.62297256736", "120.0", "2.5", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.63130496772", "120.0", "2.4", "1.9", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.63963686734", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.64796926762", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.65630026736", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.66463346739", "120.0", "2.6", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.6729635677", "120.0", "2.9", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.68129636773", "120.0", "2.9", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.68962896753", "120.0", "2.6", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.69796156737", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.70629286748", "120.0", "2.5", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.71462336736", "120.0", "2.5", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.72295666771", "120.0", "2.5", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.73128836764", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.73962326731", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.7479539674", "120.0", "2.5", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.75628456763", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.76461616743", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.77294886746", "120.0", "2.6", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.78128026756", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.78961306734", "120.0", "2.3", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.79794376731", "120.0", "2.5", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.80627896737", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.81460846766", "120.0", "2.9", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.82294316747", "120.0", "2.5", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.83127176777", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.83960416768", "120.0", "2.6", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.84793596758", "120.0", "2.5", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.85627136747", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.86460046731", "120.0", "2.7", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.87293286747", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.88126366767", "120.0", "2.8", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.88959736747", "120.0", "2.6", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.89792976745", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.90626086741", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.91459316768", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.92292896746", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.93125836743", "120.0", "2.6", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.93958906755", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.94792046758", "120.0", "2.8", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.95625276733", "120.0", "2.6", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.96458466733", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.97291636767", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.98125086759", "120.0", "2.5", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.98958046754", "120.0", "2.4", "1.8", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1236.99791316734", "120.0", "2.4", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.00624596732", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.01457546744", "120.0", "2.9", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.02290816734", "120.0", "2.6", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.0312405677", "120.0", "2.5", "1.7", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.03957176773", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.04790296775", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.05623546762", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.0645680674", "120.0", "2.5", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.07290186776", "120.0", "2.4", "1.6", "33", "19", "24", "19", "49", "0", "25", "1", "19", "19", "32", "29", "36", "23", "19", "18", "23", "21", "13", "13", "13", "14", "14", "14", "14", "14", "13", "14", "13", "14"
"1237.08123196764", "120.0", "2.4", "1.7", "33", "20", "25", "15", "52", "0", "24", "0", "20", "18", "31", "30", "37", "24", "18", "19", "24", "21", "14", "13", "14", "15", "14", "15", "16", "17", "16", "21", "16", "17"
"1237.0895628675", "120.0", "2.6", "1.7", "33", "20", "25", "15", "52", "0", "24", "0", "20", "18", "31", "30", "37", "24", "18", "19", "24", "21", "14", "13", "14", "15", "14", "15", "16", "17", "16", "21", "16", "17"
"1237.09789606762", "120.0", "2.4", "1.8", "33", "20", "25", "15", "52", "0", "24", "0", "20", "18", "31", "30", "37", "24", "18", "19", "24", "21", "14", "13", "14", "15", "14", "15", "16", "17", "16", "21", "16", "17"
"1237.10622906775", "120.0", "2.9", "1.7", "33", "20", "25", "15", "52", "0", "24", "0", "20", "18", "31", "30", "37", "24", "18", "19", "24", "21", "14", "13", "14", "15", "14", "15", "16", "17", "16", "21", "16", "17"
"1237.11456006751", "120.0", "2.4", "1.7", "33", "20", "25", "15", "52", "0", "24", "0", "20", "18", "31", "30", "37", "24", "18", "19", "24", "21", "14", "13", "14", "15", "14", "15", "16", "17", "16", "21", "16", "17"
