sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T21:04:58.2478296+03:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15","CPU16","CPU17","CPU18","CPU19","CPU20","CPU21","CPU22","CPU23","CPU24","CPU25","CPU26","CPU27"
"2670.9574951677", "67.6", "6.4", "13.4", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2670.97416276768", "0.0", "5.7", "11.3", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2670.99083156739", "60.0", "5.8", "8.6", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.00748936732", "60.0", "6.5", "6.1", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.01581986747", "60.0", "5.9", "12.3", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.03248506738", "68.6", "5.6", "10.3", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.0491596676", "66.7", "6.1", "7.9", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.06581496752", "65.5", "6.2", "6.0", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.07414696744", "64.6", "6.3", "12.8", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.09080676767", "68.6", "5.8", "10.7", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.10747926772", "67.5", "5.4", "8.5", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.12413606761", "66.7", "6.2", "7.5", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.14080506768", "66.0", "6.0", "5.3", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.14913506762", "65.5", "5.8", "12.1", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.16579516763", "67.8", "5.6", "8.7", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.18246066736", "67.2", "5.7", "5.3", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.19079456733", "66.7", "6.3", "11.5", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.20745596776", "68.6", "5.5", "8.6", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.22411916769", "68.0", "5.9", "6.0", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.23245266773", "67.5", "5.9", "12.3", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.24911876765", "69.1", "6.0", "9.2", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.26578786745", "68.6", "6.4", "6.6", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.27411106731", "68.1", "5.8", "11.6", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.29077366773", "69.5", "5.5", "9.3", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.30744306748", "69.0", "5.9", "6.4", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.31577556749", "68.6", "6.0", "12.5", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.33243676738", "69.8", "5.6", "9.6", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.34910396774", "69.3", "6.4", "7.1", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.35743066744", "68.9", "6.0", "13.5", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.37410026741", "70.0", "5.7", "10.6", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.39075976745", "69.6", "6.2", "8.1", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.40742576758", "69.2", "5.8", "6.4", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.41575806748", "68.9", "6.2", "11.9", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.43242106765", "69.8", "5.9", "10.6", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.4490853674", "69.5", "6.0", "7.6", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.46574796732", "69.2", "6.2", "6.4", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
"2671.4740801676", "68.9", "5.7", "13.3", "42", "31", "35", "31", "42", "24", "28", "26", "29", "26", "52", "42", "70", "33", "28", "31", "27", "37", "26", "25", "25", "26", "26", "27", "25", "27", "27", "30", "27", "26"
