sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T20:56:40.9616387+03:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15","CPU16","CPU17","CPU18","CPU19","CPU20","CPU21","CPU22","CPU23","CPU24","CPU25","CPU26","CPU27"
"2173.67126926762", "58.0", "6.4", "14.1", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.69625986759", "0.0", "6.9", "7.7", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.71292526741", "40.0", "6.1", "10.2", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.72959086743", "48.0", "6.5", "12.2", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.7462557674", "51.4", "6.6", "14.0", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.77124806736", "53.3", "7.0", "8.2", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.78791666776", "50.0", "6.5", "9.0", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.80457756738", "51.4", "6.1", "10.5", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.82124146766", "52.5", "6.4", "13.1", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.83790756739", "53.3", "6.7", "14.5", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.86290066777", "54.0", "7.0", "7.6", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.87957046774", "52.2", "6.3", "8.8", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.89623276733", "52.8", "7.2", "10.6", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.91289266731", "53.3", "6.7", "12.8", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.93788696755", "53.8", "6.7", "6.1", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.95455186746", "52.5", "6.9", "7.7", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.97121926765", "53.0", "6.3", "9.1", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2173.98788266749", "53.3", "6.8", "10.9", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.00454976736", "53.7", "6.5", "12.0", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.02121356776", "54.0", "6.5", "12.9", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.03787366769", "54.3", "6.7", "14.3", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.06286656768", "54.6", "7.1", "7.9", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.07953476744", "53.6", "6.5", "9.3", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.09619496734", "53.9", "7.0", "10.7", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.11286096731", "54.1", "6.9", "11.9", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.12952456754", "54.3", "6.6", "13.5", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.15452146741", "54.6", "6.8", "6.7", "38", "31", "39", "27", "49", "23", "33", "28", "35", "27", "60", "36", "71", "29", "31", "29", "30", "34", "24", "24", "24", "24", "24", "24", "25", "25", "24", "26", "25", "23"
"2174.17118396772", "53.8", "6.0", "8.9", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.18784786764", "54.0", "6.3", "9.1", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.20451536765", "54.2", "6.5", "10.5", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.2211749676", "54.4", "6.5", "11.0", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.23784456744", "54.6", "6.6", "12.4", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.25450966732", "54.7", "6.4", "14.2", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.27949946742", "54.9", "6.9", "7.0", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.29616496776", "54.3", "6.1", "8.8", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.31283166776", "54.4", "6.4", "10.2", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.32949996756", "54.6", "6.4", "10.7", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.34615426761", "54.7", "6.7", "12.0", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.36282526742", "54.8", "6.9", "12.9", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.37948716745", "54.9", "6.8", "14.1", "38", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.40447916769", "55.1", "7.4", "6.8", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.42114686743", "54.6", "5.9", "8.9", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.43780936774", "54.7", "6.5", "10.3", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.45447466771", "54.8", "6.6", "12.4", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.47113466765", "54.9", "6.6", "13.5", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.49613126766", "55.0", "6.7", "6.6", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.51278696734", "54.6", "6.9", "7.8", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.52946016741", "54.7", "6.1", "8.7", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
"2174.54612706768", "54.8", "6.5", "9.5", "39", "33", "38", "32", "50", "24", "34", "28", "33", "29", "59", "37", "71", "30", "31", "32", "33", "32", "26", "26", "27", "30", "26", "28", "29", "29", "27", "31", "32", "28"
