sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T21:12:49.1263288+03:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15","CPU16","CPU17","CPU18","CPU19","CPU20","CPU21","CPU22","CPU23","CPU24","CPU25","CPU26","CPU27"
"3141.83965576738", "65.0", "9.3", "9.5", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3141.87298706774", "0.0", "9.4", "8.8", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3141.88965456744", "30.0", "8.7", "25.4", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3141.92297466771", "40.0", "9.2", "24.3", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3141.95630446769", "36.0", "9.0", "22.8", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3141.98963356761", "34.3", "9.4", "22.6", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.0229614675", "33.3", "9.3", "18.3", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.05628746766", "32.7", "9.5", "18.6", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.1062864677", "32.3", "9.0", "14.4", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.13960926743", "30.0", "8.9", "9.3", "34", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.15627886764", "30.0", "8.8", "21.1", "29", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.18960216737", "31.6", "8.8", "15.4", "29", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.22292836771", "31.4", "8.8", "9.6", "29", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.23960066775", "31.3", "8.6", "20.9", "29", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.27292066758", "32.5", "8.6", "16.6", "29", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.30624816769", "32.3", "8.7", "11.4", "29", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.32291656766", "32.1", "8.9", "24.4", "29", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
"3142.35626946735", "33.1", "8.3", "19.9", "29", "42", "53", "36", "60", "33", "44", "36", "47", "39", "69", "44", "67", "44", "40", "39", "37", "41", "36", "33", "36", "40", "37", "35", "36", "36", "39", "37", "40", "38"
