sep=,
Frametimes/GPU Usage/CPU Usage/2024-05-30T20:52:20.6348864+03:00
"SteamVR Time","FPS","GPU frametime","CPU frametime","GPU Usage","CPU Usage","CPU0","CPU1","CPU2","CPU3","CPU4","CPU5","CPU6","CPU7","CPU8","CPU9","CPU10","CPU11","CPU12","CPU13","CPU14","CPU15","CPU16","CPU17","CPU18","CPU19","CPU20","CPU21","CPU22","CPU23","CPU24","CPU25","CPU26","CPU27"
"1913.3133053676", "65.1", "16.0", "30.3", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.32995306774", "0.0", "16.1", "30.6", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.3466187674", "60.1", "16.3", "30.9", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.36328246735", "60.0", "16.7", "31.6", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.37994606753", "60.0", "16.3", "31.9", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.39660976755", "60.0", "17.1", "32.8", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.41328106753", "60.0", "18.2", "35.1", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.44660826777", "60.0", "16.1", "18.4", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.46326746751", "52.5", "13.5", "18.4", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.47993276733", "53.3", "14.4", "19.3", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.49659816732", "54.0", "14.7", "19.6", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.51326116735", "54.6", "16.0", "20.8", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.52992606766", "55.0", "17.2", "21.7", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.54659386747", "55.4", "17.5", "22.8", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.56326056737", "55.7", "16.4", "23.2", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.57994516761", "56.0", "16.2", "23.5", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.59657966731", "56.3", "16.0", "23.3", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
"1913.61324176739", "56.5", "16.1", "23.4", "48", "34", "41", "34", "51", "26", "33", "34", "34", "33", "40", "65", "41", "60", "35", "34", "33", "47", "24", "26", "24", "24", "25", "25", "25", "26", "27", "28", "24", "27"
